x,y,n,label
0.0,0.0,50.0,4
15.303030303030303,0.0,50.0,4
30.606060606060606,0.0,50.0,4
45.90909090909091,0.0,50.0,4
61.21212121212121,0.0,50.0,4
76.51515151515152,0.0,50.0,4
91.81818181818181,0.0,50.0,4
107.12121212121212,0.0,50.0,4
122.42424242424242,0.0,50.0,4
137.72727272727272,0.0,50.0,4
153.03030303030303,0.0,50.0,4
168.33333333333334,0.0,50.0,4
183.63636363636363,0.0,50.0,4
198.93939393939394,0.0,50.0,4
214.24242424242425,0.0,50.0,0
229.54545454545453,0.0,50.0,0
244.84848484848484,0.0,50.0,0
260.1515151515151,0.0,50.0,0
275.45454545454544,0.0,50.0,0
290.75757575757575,0.0,50.0,0
306.06060606060606,0.0,50.0,0
321.3636363636364,0.0,50.0,0
336.6666666666667,0.0,50.0,0
351.96969696969694,0.0,50.0,0
367.27272727272725,0.0,50.0,0
382.57575757575756,0.0,50.0,0
397.8787878787879,0.0,50.0,0
413.1818181818182,0.0,50.0,0
428.4848484848485,0.0,50.0,0
443.78787878787875,0.0,50.0,0
459.09090909090907,0.0,50.0,0
474.3939393939394,0.0,50.0,0
489.6969696969697,0.0,50.0,0
505.0,0.0,50.0,0
520.3030303030303,0.0,50.0,0
535.6060606060606,0.0,50.0,2
550.9090909090909,0.0,50.0,2
566.2121212121212,0.0,50.0,2
581.5151515151515,0.0,50.0,2
596.8181818181818,0.0,50.0,2
612.1212121212121,0.0,50.0,2
627.4242424242424,0.0,50.0,2
642.7272727272727,0.0,50.0,2
658.030303030303,0.0,50.0,2
673.3333333333334,0.0,50.0,2
688.6363636363636,0.0,50.0,2
703.9393939393939,0.0,50.0,2
719.2424242424242,0.0,50.0,2
734.5454545454545,0.0,50.0,2
749.8484848484849,0.0,50.0,2
765.1515151515151,0.0,50.0,2
780.4545454545455,0.0,50.0,5
795.7575757575758,0.0,50.0,5
811.060606060606,0.0,50.0,5
826.3636363636364,0.0,50.0,5
841.6666666666666,0.0,50.0,5
856.969696969697,0.0,50.0,5
872.2727272727273,0.0,50.0,5
887.5757575757575,0.0,50.0,5
902.8787878787879,0.0,50.0,5
918.1818181818181,0.0,50.0,5
933.4848484848485,0.0,50.0,5
948.7878787878788,0.0,50.0,5
964.0909090909091,0.0,50.0,1
979.3939393939394,0.0,50.0,1
994.6969696969696,0.0,50.0,1
1010.0,0.0,50.0,1
1025.3030303030303,0.0,50.0,1
1040.6060606060605,0.0,50.0,1
1055.909090909091,0.0,50.0,1
1071.2121212121212,0.0,50.0,1
1086.5151515151515,0.0,50.0,1
1101.8181818181818,0.0,50.0,1
1117.121212121212,0.0,50.0,1
1132.4242424242425,0.0,50.0,1
1147.7272727272727,0.0,50.0,1
1163.030303030303,0.0,50.0,1
1178.3333333333333,0.0,50.0,1
1193.6363636363635,0.0,50.0,1
1208.939393939394,0.0,50.0,1
1224.2424242424242,0.0,50.0,1
1239.5454545454545,0.0,50.0,1
1254.8484848484848,0.0,50.0,1
1270.1515151515152,0.0,50.0,3
1285.4545454545455,0.0,50.0,3
1300.7575757575758,0.0,50.0,3
1316.060606060606,0.0,50.0,3
1331.3636363636363,0.0,50.0,3
1346.6666666666667,0.0,50.0,3
1361.969696969697,0.0,50.0,3
1377.2727272727273,0.0,50.0,3
1392.5757575757575,0.0,50.0,3
1407.8787878787878,0.0,50.0,3
1423.1818181818182,0.0,50.0,3
1438.4848484848485,0.0,50.0,3
1453.7878787878788,0.0,50.0,3
1469.090909090909,0.0,50.0,3
1484.3939393939393,0.0,50.0,3
1499.6969696969697,0.0,50.0,3
1515.0,0.0,50.0,3
