x,y,n,label
0.0,0.0,50.0,5
15.0,0.0,50.0,5
30.0,0.0,50.0,5
45.0,0.0,50.0,5
60.0,0.0,50.0,5
75.0,0.0,50.0,5
90.0,0.0,50.0,5
105.0,0.0,50.0,5
120.0,0.0,50.0,7
135.0,0.0,50.0,7
150.0,0.0,50.0,7
165.0,0.0,50.0,7
180.0,0.0,50.0,7
195.0,0.0,50.0,7
210.0,0.0,50.0,7
225.0,0.0,50.0,7
240.0,0.0,50.0,10
255.0,0.0,50.0,10
270.0,0.0,50.0,10
285.0,0.0,50.0,10
300.0,0.0,50.0,10
315.0,0.0,50.0,10
330.0,0.0,50.0,10
345.0,0.0,50.0,10
360.0,0.0,50.0,2
375.0,0.0,50.0,2
390.0,0.0,50.0,2
405.0,0.0,50.0,2
420.0,0.0,50.0,2
435.0,0.0,50.0,2
450.0,0.0,50.0,2
465.0,0.0,50.0,2
480.0,0.0,50.0,9
495.0,0.0,50.0,9
510.0,0.0,50.0,9
525.0,0.0,50.0,9
540.0,0.0,50.0,9
555.0,0.0,50.0,9
570.0,0.0,50.0,9
585.0,0.0,50.0,9
600.0,0.0,50.0,4
615.0,0.0,50.0,4
630.0,0.0,50.0,4
645.0,0.0,50.0,4
660.0,0.0,50.0,4
675.0,0.0,50.0,4
690.0,0.0,50.0,4
705.0,0.0,50.0,4
720.0,0.0,50.0,3
735.0,0.0,50.0,3
750.0,0.0,50.0,3
765.0,0.0,50.0,3
780.0,0.0,50.0,3
795.0,0.0,50.0,3
810.0,0.0,50.0,3
825.0,0.0,50.0,3
840.0,0.0,50.0,1
855.0,0.0,50.0,1
870.0,0.0,50.0,1
885.0,0.0,50.0,1
900.0,0.0,50.0,1
915.0,0.0,50.0,1
930.0,0.0,50.0,1
945.0,0.0,50.0,1
960.0,0.0,50.0,0
975.0,0.0,50.0,0
990.0,0.0,50.0,0
1005.0,0.0,50.0,0
1020.0,0.0,50.0,0
1035.0,0.0,50.0,0
1050.0,0.0,50.0,0
1065.0,0.0,50.0,0
1080.0,0.0,50.0,15
1095.0,0.0,50.0,15
1110.0,0.0,50.0,15
1125.0,0.0,50.0,15
1140.0,0.0,50.0,8
1155.0,0.0,50.0,8
1170.0,0.0,50.0,8
1185.0,0.0,50.0,8
1200.0,0.0,50.0,14
1215.0,0.0,50.0,14
1230.0,0.0,50.0,14
1245.0,0.0,50.0,14
1260.0,0.0,50.0,13
1275.0,0.0,50.0,13
1290.0,0.0,50.0,13
1305.0,0.0,50.0,13
1320.0,0.0,50.0,6
1335.0,0.0,50.0,6
1350.0,0.0,50.0,6
1365.0,0.0,50.0,6
1380.0,0.0,50.0,11
1395.0,0.0,50.0,11
1410.0,0.0,50.0,11
1425.0,0.0,50.0,11
1440.0,0.0,50.0,12
1455.0,0.0,50.0,12
1470.0,0.0,50.0,12
1485.0,0.0,50.0,12
1500.0,0.0,50.0,12
1515.0,0.0,50.0,12
