x,y,n,label
0.0,0.0,50.0,2
15.0,0.0,50.0,2
30.0,0.0,50.0,2
45.0,0.0,50.0,2
60.0,0.0,50.0,2
75.0,0.0,50.0,2
90.0,0.0,50.0,2
105.0,0.0,50.0,2
120.0,0.0,50.0,3
135.0,0.0,50.0,3
150.0,0.0,50.0,3
165.0,0.0,50.0,3
180.0,0.0,50.0,3
195.0,0.0,50.0,3
210.0,0.0,50.0,3
225.0,0.0,50.0,3
240.0,0.0,50.0,1
255.0,0.0,50.0,1
270.0,0.0,50.0,1
285.0,0.0,50.0,1
300.0,0.0,50.0,1
315.0,0.0,50.0,1
330.0,0.0,50.0,1
345.0,0.0,50.0,1
360.0,0.0,50.0,0
375.0,0.0,50.0,0
390.0,0.0,50.0,0
405.0,0.0,50.0,0
420.0,0.0,50.0,0
435.0,0.0,50.0,0
450.0,0.0,50.0,0
465.0,0.0,50.0,0
480.0,0.0,50.0,20
495.0,0.0,50.0,20
510.0,0.0,50.0,20
525.0,0.0,50.0,20
540.0,0.0,50.0,12
555.0,0.0,50.0,12
570.0,0.0,50.0,12
585.0,0.0,50.0,12
600.0,0.0,50.0,19
615.0,0.0,50.0,19
630.0,0.0,50.0,19
645.0,0.0,50.0,19
660.0,0.0,50.0,9
675.0,0.0,50.0,9
690.0,0.0,50.0,9
705.0,0.0,50.0,9
720.0,0.0,50.0,18
735.0,0.0,50.0,18
750.0,0.0,50.0,18
765.0,0.0,50.0,18
780.0,0.0,50.0,10
795.0,0.0,50.0,10
810.0,0.0,50.0,10
825.0,0.0,50.0,10
840.0,0.0,50.0,17
855.0,0.0,50.0,17
870.0,0.0,50.0,17
885.0,0.0,50.0,17
900.0,0.0,50.0,4
915.0,0.0,50.0,4
930.0,0.0,50.0,4
945.0,0.0,50.0,4
960.0,0.0,50.0,16
975.0,0.0,50.0,16
990.0,0.0,50.0,16
1005.0,0.0,50.0,16
1020.0,0.0,50.0,15
1035.0,0.0,50.0,15
1050.0,0.0,50.0,15
1065.0,0.0,50.0,15
1080.0,0.0,50.0,7
1095.0,0.0,50.0,7
1110.0,0.0,50.0,7
1125.0,0.0,50.0,7
1140.0,0.0,50.0,8
1155.0,0.0,50.0,8
1170.0,0.0,50.0,8
1185.0,0.0,50.0,8
1200.0,0.0,50.0,14
1215.0,0.0,50.0,14
1230.0,0.0,50.0,14
1245.0,0.0,50.0,14
1260.0,0.0,50.0,13
1275.0,0.0,50.0,13
1290.0,0.0,50.0,13
1305.0,0.0,50.0,13
1320.0,0.0,50.0,6
1335.0,0.0,50.0,6
1350.0,0.0,50.0,6
1365.0,0.0,50.0,6
1380.0,0.0,50.0,11
1395.0,0.0,50.0,11
1410.0,0.0,50.0,11
1425.0,0.0,50.0,11
1440.0,0.0,50.0,5
1455.0,0.0,50.0,5
1470.0,0.0,50.0,5
1485.0,0.0,50.0,5
1500.0,0.0,50.0,5
1515.0,0.0,50.0,5
