x,y,n,label
35.22913519074123,-119.08577595654484,0,20.0
35.22916895,-119.0171544,0,20.0
35.229183196128396,-119.10176282434864,0,20.0
35.22949778369113,-119.0038482577271,0,20.0
35.23002760000001,-119.08204709999998,0,20.0
35.230235204071995,-119.01836889584474,0,20.0
35.23099625162689,-119.07545569624176,0,20.0
35.23103478259842,-119.02003039318546,0,20.0
35.2310979299543,-119.01804797627494,0,20.0
35.2311724,-118.97422554999999,0,20.0
35.23120565,-119.07556089999999,0,20.0
35.231304664563865,-118.98208718166428,0,20.0
35.231453425211434,-118.98201622787339,0,20.0
35.231459690834704,-119.02104437579254,0,20.0
35.231475064569636,-119.07553677470253,0,20.0
35.231563195699735,-119.01666337642854,0,20.0
35.231717014830885,-119.07631383165888,0,20.0
35.23182693070533,-119.01744687548842,0,20.0
35.23188115221613,-119.08512781518922,0,20.0
35.232678899999996,-119.08822119999999,0,20.0
35.232785360404264,-119.00246757489734,0,20.0
35.23319705792651,-119.09007387992737,0,20.0
35.23322585413669,-119.08754872834955,0,20.0
35.23363476305096,-119.08461555282099,0,20.0
35.23374604704531,-119.01786177821576,0,20.0
35.23378678988921,-119.09251782480794,0,20.0
35.2347551982855,-119.0182375290699,0,20.0
35.235731707286725,-119.08265257114434,0,20.0
35.23608440053455,-119.00348432647428,0,20.0
35.236096149999995,-118.91082795,0,20.0
35.23612052565396,-118.89558617693574,0,20.0
35.236214618558726,-118.91097426283662,0,20.0
35.236349774450304,-118.91305116197422,0,20.0
35.236444500000005,-118.91070090000001,0,20.0
35.23646299271005,-118.91172441413538,0,20.0
35.2365115,-118.91099594999999,0,20.0
35.236517523411564,-118.91049899187361,0,20.0
35.2365989,-118.91303855000004,0,20.0
35.23664460107552,-119.01865234418754,0,20.0
35.2366642,-118.91017934999999,0,20.0
35.23675515,-118.90752099999999,0,20.0
35.236836,-119.08232135000002,0,20.0
35.23688572636586,-118.9106963919202,0,20.0
35.23692055,-118.9105034,0,20.0
35.236920774902266,-118.91193834478466,0,20.0
35.23710605,-119.09155944999999,0,20.0
35.2372533,-118.99583659999996,0,20.0
35.23730982483056,-118.94214100982013,0,20.0
35.2373188,-118.91051360000002,0,20.0
35.23742476840762,-118.9099283252378,0,20.0
35.2374812475717,-119.09864582454817,0,20.0
35.237496300461515,-118.91171793307574,0,20.0
35.2375097751582,-118.91206258640027,0,20.0
35.23751807516489,-118.91116338405705,0,20.0
35.23752920542065,-119.07966817508438,0,20.0
35.23755026197156,-118.91412004960546,0,20.0
35.23755545000001,-119.0791926,0,20.0
35.2375853,-118.91079199999999,0,20.0
35.23769963898274,-119.09787436394907,0,20.0
35.23773082517116,-119.09857082189076,0,20.0
35.2379303,-119.00369530000002,0,20.0
35.238055827649426,-118.91866286571286,0,20.0
35.23806585,-118.91761575,0,20.0
35.238066,-118.99861959999998,0,20.0
35.2380764112172,-118.91815775713137,0,20.0
35.23808123245739,-118.91638311598642,0,20.0
35.23808572567673,-118.9167777728772,0,20.0
35.23808655,-118.96286794999999,0,20.0
35.23809556530777,-118.9169258347824,0,20.0
35.23809672485909,-118.91831771316731,0,20.0
35.23810415,-118.91299314999999,0,20.0
35.23810665,-118.9172951,0,20.0
35.23812215,-118.96692375,0,20.0
35.238169424788,-118.9990091305016,0,20.0
35.23819090599292,-118.91376302515498,0,20.0
35.238191174853064,-118.91625276159358,0,20.0
35.23822649032245,-119.03863277556113,0,20.0
35.23831050497665,-119.03738758622478,0,20.0
35.238382110269974,-119.00115679672109,0,20.0
35.238384424848704,-118.91784915903405,0,20.0
35.23838492168,-119.07405607254798,0,20.0
35.238440149999995,-118.91721894999999,0,20.0
35.238469083486024,-118.8986837168222,0,20.0
35.23854118320661,-118.91759327478012,0,20.0
35.2385484425088,-118.91659654345385,0,20.0
35.23856225626798,-118.91640104269652,0,20.0
35.238576910513224,-118.91726947057442,0,20.0
35.23863899999999,-119.07487224999998,0,20.0
35.23868023537024,-118.9011210682103,0,20.0
35.2387116,-119.07768385,0,20.0
35.23880818272623,-118.91267456598652,0,20.0
35.238852449999996,-118.91196395000001,0,20.0
35.23894330200138,-118.91337159955447,0,20.0
35.23895680704739,-118.91741804624148,0,20.0
35.23896818146214,-119.07319083588939,0,20.0
35.23897011678417,-118.91867976115596,0,20.0
35.23897152472244,-118.91156913925136,0,20.0
35.2389802002443,-118.91245454012426,0,20.0
35.23905970898115,-119.07381756800017,0,20.0
35.239075425178534,-118.91531729471991,0,20.0
35.239099702876494,-118.91672540175337,0,20.0
35.239116675153426,-118.91827054195221,0,20.0
35.23920187480767,-118.91573885533566,0,20.0
35.23920805,-118.91626494999997,0,20.0
35.239231624842205,-118.91757256100772,0,20.0
35.23924869324934,-118.91651895653034,0,20.0
35.23932082519037,-118.91410773017523,0,20.0
35.23933237481624,-118.91183270549756,0,20.0
35.23935127515615,-118.91212909218031,0,20.0
35.23935653632769,-118.91538032480652,0,20.0
