Time,WW,WH,WE,WR,WB,HH,HE,HR,HB,EE,ER,EB,RR,RB,BB
1,238.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,237.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,237.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,235.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,235.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,234.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,235.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,235.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,235.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,233.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,233.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,235.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,235.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,235.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,233.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,233.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,233.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,234.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,233.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,234.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,234.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,233.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,233.7,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
24,233.36,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
25,233.64,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
26,235.11,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
27,234.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,234.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,233.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,233.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,232.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,233.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,233.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,232.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,233.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,234.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,234.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,234.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,234.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,235.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,234.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,233.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,233.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,233.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,232.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
