Time,WW,WH,WE,WR,WB,HH,HE,HR,HB,EE,ER,EB,RR,RB,BB
1,469.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,468.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,469.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,469.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,471.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,471.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,471.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,470.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,470.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,471.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,471.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,470.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,470.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,472.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,470.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,470.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,470.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,471.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,473.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,470.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,470.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,469.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,469.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,469.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,468.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,467.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,467.62,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
28,465.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,466.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,467.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,467.79,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
32,469.25,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
33,468.46,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
34,468.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,467.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,468.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,468.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,468.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,467.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,467.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,469.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,469.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,469.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,469.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,469.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,469.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,470.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
48,470.43,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
49,469.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,469.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,470.16,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
52,470.61,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
53,470.63,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
54,470.98,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
55,473.99,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
56,474.09,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
57,473.82,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
58,472.73,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
59,471.47,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
60,473.52,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
61,473.91,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
62,473.68,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
63,474.09,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
64,474.85,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
65,475.29,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
66,475.07,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
67,475.27,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
68,473.74,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0
69,473.02,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
70,472.39,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0
71,471.73,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
72,471.72,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
73,471.21,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0
74,470.42,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0
75,471.48,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0
76,469.42,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0
77,469.94,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0
78,469.11,0.06,0,0,0.01,0,0,0,0,0,0,0,0,0,0
79,469.29,0.04,0,0,0.01,0,0,0,0,0,0,0,0,0,0
80,468.71,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0
81,469.47,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0
82,469.49,0.03,0,0,0.02,0,0,0,0,0,0,0,0,0,0
83,469.09,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0
84,470.03,0.04,0,0,0.01,0,0,0,0,0,0,0,0,0,0
85,468.99,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0
86,469.79,0.04,0,0,0.01,0,0,0,0,0,0,0,0,0,0
87,470.87,0.04,0,0,0.02,0,0,0,0,0,0,0,0,0,0
88,470.77,0.09,0,0,0.02,0,0,0,0,0,0,0,0,0,0
89,471.14,0.08,0,0,0.02,0,0,0,0,0,0,0,0,0,0
90,469.29,0.08,0,0,0.02,0,0,0,0,0,0,0,0,0,0
91,469.85,0.09,0,0,0.02,0,0,0,0,0,0,0,0,0,0
92,469.32,0.11,0,0,0.01,0,0,0,0,0,0,0,0,0,0
93,468.23,0.1,0,0,0.01,0,0,0,0,0,0,0,0,0,0
94,468.63,0.09,0,0,0.01,0,0,0,0,0,0,0,0,0,0
95,469.57,0.09,0,0,0.01,0,0,0,0,0,0,0,0,0,0
96,469.02,0.1,0,0,0.01,0,0,0,0,0,0,0,0,0,0
97,469.95,0.11,0,0,0.01,0,0,0,0,0,0,0,0,0,0
98,467.77,0.11,0,0,0.01,0,0,0,0,0,0,0,0,0,0
99,467.62,0.11,0,0,0.01,0,0,0,0,0,0,0,0,0,0
100,469.1,0.11,0,0,0.01,0,0,0,0,0,0,0,0,0,0
101,469.22,0.11,0,0,0.02,0,0,0,0,0,0,0,0,0,0
102,470.77,0.1,0,0,0.02,0,0,0,0,0,0,0,0,0,0
103,469.9,0.08,0,0,0.02,0,0,0,0,0,0,0,0,0,0
104,469.41,0.11,0,0,0.02,0,0,0,0,0,0,0,0,0,0
105,469.95,0.1,0,0,0.02,0,0,0,0,0,0,0,0,0,0
106,469.51,0.13,0,0,0.02,0,0,0,0,0,0,0,0,0,0
107,470.31,0.14,0,0,0.02,0,0,0,0,0,0,0,0,0,0
108,470.62,0.18,0,0,0.02,0,0,0,0,0,0,0,0,0,0
109,469.83,0.2,0,0,0.01,0,0,0,0,0,0,0,0,0,0
110,469.41,0.2,0,0,0.01,0,0,0,0,0,0,0,0,0,0
111,470.7,0.18,0,0,0.02,0,0,0,0,0,0,0,0,0,0
112,472.35,0.18,0,0,0.02,0,0,0,0,0,0,0,0,0,0
113,471.47,0.19,0,0,0.02,0,0,0,0,0,0,0,0,0,0
114,470.97,0.18,0,0,0.03,0,0,0,0,0,0,0,0,0,0
115,470.51,0.17,0,0,0.04,0,0,0,0,0,0,0,0,0,0
116,470.01,0.19,0,0,0.04,0,0,0,0,0,0,0,0,0,0
117,469.21,0.21,0,0,0.03,0,0,0,0,0,0,0,0,0,0
118,469.22,0.23,0,0,0.03,0,0,0,0,0,0,0,0,0,0
119,469.19,0.25,0,0,0.02,0,0,0,0,0,0,0,0,0,0
