Time,WW,WH,WE,WR,WB,HH,HE,HR,HB,EE,ER,EB,RR,RB,BB
1,288.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,287.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,287.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,288.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,286.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,287.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,287.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,287.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,287.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,287.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,288.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,287.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,287.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,286.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,285.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,285.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,284.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,283.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,283.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,282.36,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
21,282,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0
22,281.97,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0
23,283.44,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0
24,283.46,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0
25,284.43,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0
26,283.75,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
27,283.42,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0
28,283.96,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0
29,283.48,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
30,283.4,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
31,283,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0
32,283.7,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0
33,282.88,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0
34,282.51,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
35,283.11,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0
36,282.83,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0
37,281.95,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0
38,281.29,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0
39,282.59,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
40,282.67,0.01,0,0,0,0.08,0,0,0,0,0,0,0,0,0
41,282.46,0.01,0,0,0,0.06,0,0,0,0,0,0,0,0,0
42,282.84,0.01,0,0,0,0.07,0,0,0,0,0,0,0,0,0
43,281.97,0.02,0,0,0,0.07,0,0,0,0,0,0,0,0,0
44,281.57,0.03,0,0,0,0.07,0,0,0,0,0,0,0,0,0
45,281.54,0.03,0,0,0,0.08,0,0,0,0,0,0,0,0,0
46,282.61,0.04,0,0,0,0.08,0,0,0,0,0,0,0,0,0
