Time,WW,WH,WE,WR,WB,HH,HE,HR,HB,EE,ER,EB,RR,RB,BB
1,449.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,448.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,448.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,448.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,447.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,448.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,447.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,448.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,448.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,447.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,448.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,448.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,446.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,449.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,450.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,449.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,449.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,450.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,450.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,448.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,449.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,448.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,448.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,447.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,448.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,448.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,448.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,448.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,448.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,448.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,449.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,449.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,449.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,449.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,451.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,451.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,452.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,453.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,454.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,455.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,455.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,455.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,456.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,455.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,456.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,455.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,455.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,454.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,455.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,454.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,454.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,454.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,453.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,456.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,454.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,454.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,453.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,453.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,455.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,455.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,455.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,455.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,455.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,455.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,454.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,455.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,454.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,453.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,453.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,454.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,453.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,453.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,452.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,452.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,452.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,453.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,450.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,449.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,450.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,450.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,450.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,452.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,452.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,453.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,452.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,453.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,453.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,452.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,452.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,453.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,453.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,452.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,450.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,450.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,450.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,449.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,450.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,451.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,451.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,451.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,451.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,450.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,452.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,453.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
