Time,WW,WH,WE,WR,WB,HH,HE,HR,HB,EE,ER,EB,RR,RB,BB
1,418.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,419.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,419.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,418.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,417.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,417.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,416.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,416.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,417.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,415.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,417.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,416.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,417.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,418.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,418.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,418.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,418.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,417.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,416.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,417.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,416.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,417.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,417.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,417.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,416.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,416.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,415.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,415.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,415.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,416.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,418.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,419.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,420.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,419.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,419.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,418.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,419.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,416.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,417.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,417.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,416.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,416.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,416.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
