Time,WW,WH,WE,WR,WB,HH,HE,HR,HB,EE,ER,EB,RR,RB,BB
1,498.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,498.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,498.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,498.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,498.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,499.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,500.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,499.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,501.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,501.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,500.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,500.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,499.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,502.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,501.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,498.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,498.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,499.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,499.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,498.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,496.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,497.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,498.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,498.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,499.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,499.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,498.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,498.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,499.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,499.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,500.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,500.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,500.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,500.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,502.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,500.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,500.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,500.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,500.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,501.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,501.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,500.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,501.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,501.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,501.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,503.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,503.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,503.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,503.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,504.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,503.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,504.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,503.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,501.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,500.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,500.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,501.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,501.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,500.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,500.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,500.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,501.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,502.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,503.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,504.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,506.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,506.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,505.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,507.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,505.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,505.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,505.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,504.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,505.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,505.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,504.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,503.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,503.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,501.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,502.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,502.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,503.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,503.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,502.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,502.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,501.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,502.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,500.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,501.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,500.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,500.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,501.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,500.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,500.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,500.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,500.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,500.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,500.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,500.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,501.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,502.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,504.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,504.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,505.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,506.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,507.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,505.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,504.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,503.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,503.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,503.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,503.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,502.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,502.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,502.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,502.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,500.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,501.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,503.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,502.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,502.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,502.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,503.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,502.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,503.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,501.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,502.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,500.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,501.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,502.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,502.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,503.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,501.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,501.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,500.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,499.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,500.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,501.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,499.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,501.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,502.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,502.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,503.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,503.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,500.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,501.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,502.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,502.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,502.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,503.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,501.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,501.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,502.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,500.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,500.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,501.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
